,Anfu_Zhou,Hongman_Wang,Xiangling_Fu,Yang_Liu_0024,Pengfei_Wang_0009,Si-Ya_Xu,Wenjing_Li_0001,Chen_Liu_0011,Xiaomin_Zhu_0002,Yawen_Wang,Pei_Zhang_0003,Jianfeng_Guan,Qi_Qi_0001,Qiwei_Shen,Chuan_Shi,Yongping_Xiong,Haihong_E,Fanqin_Zhou,Shuzhuang_Zhang,Hongliang_Liang,Linmei_Hu,Yanhua_Yu,Yan_Shi_0002,Haifeng_Sun,Yuhong_Li,Dong_Zhao_0001,Tiemeng_Li,Feng_Qi_0004,Rongfeng_Li,Jincui_Yang,Ao_Xiong,Li_Wang_0039,Bin_Wu_0001,Zhili_Wang,Ding_Xiao,Yingxia_Shao,Rongheng_Lin,Kun_Niu,Xirong_Que,Dahai_Jin,Guangwei_Zhang,Yuan_Dong,Shangguang_Wang,Xiangang_Qin,Xin_Li_0041,Bo_Hu_0003,Wenhua_Shao,Junping_Du,Meilian_Lu,Wenbin_Yao,Zhaowen_Lin,Liutong_Xu,Jinglin_Li,Shao-Yong_Guo,Yidong_Cui,Yanlei_Shang,Xuejing_Kang,Sujie_Shao,Anlong_Ming,Bai_Wang_0001,Hui_Gao_0001,Fangchun_Yang,Dongliang_Xie,Xiangwu_Meng,Jingling_Zhao,Pengrui_Duan,Wendong_Wang,Shao-Zhang_Niu,Yan_Sun_0004,Yuyu_Yuan,Wenan_Zhou,Xiang_Cheng_0003,Songwei_Pei,Xiaoyuan_Fu,Jianxin_Liao,Tong_Xu_0002,Fang_Zhao_0003,Chong_Gao,Hai_Huang_0001,Xiaofeng_Du,Kun_Xie_0003,Yunzhan_Gong,Yang_Zhang_0015,Changqiao_Xu,Qiang_Fu_0004,Wenming_Guo,Haoyu_Wang_0001,Hongwei_Jia,Meina_Song,Lei_Feng_0001,Yuchao_Zhang,Zhengqiu_Yang,Xiangyang_Gong,Hua_Zou,Danfeng_Yan,Xiuqin_Lin,Quan_Yuan_0004,MeiYu_Liang,Jingyu_Wang_0001,Xingquan_Zuo,Lanlan_Rui,Lejian_Zhang,Zhongbao_Zhang,Xiaoru_Wang,Zhonghong_Ou,Wen-Jun_Hou,Lirong_Qiu,Qibo_Sun,Hongbo_Wang_0001,Ying_Wang_0002,Mengshi_Qi,Xuesong_Qiu_0001,Hong_Luo_0001,Xianlin_Zhang,Huiyuan_Fu,Feifei_Kou,Budan_Wu,Jinpeng_Chen,Jiapeng_Xiu,Kai_Shuang,Yonghao_Gu,Xiaolong_Zheng_0002,Shujie_Yang,Xiao-hong_Huang,Zhipeng_Gao,Yuanyuan_Zuo
Anfu_Zhou,1.0000001,0.9861027,0.9890659,0.9786539,0.9767102,0.9866134,0.9929832,0.987553,0.9916069,0.9904851,0.99229455,0.9930284,0.9721408,0.9512181,0.93908286,0.9928444,0.98979294,0.989714,0.99289227,0.0,0.9794879,0.97316885,0.99041295,0.9858462,0.95983005,0.97888553,0.9729636,0.97459626,0.9242585,0.98343223,0.98766017,0.9917058,0.98981285,0.9918783,0.98703885,0.98890173,0.9913187,0.98682755,0.99531126,0.9836004,0.9245004,0.98110604,0.99416286,0.98057187,0.9867946,0.9894053,0.9853961,0.98821485,0.9873817,0.0,0.9897772,0.0,0.9141651,0.9918815,0.951779,0.9943471,0.9821815,0.9824597,0.9858384,0.99050766,0.9869491,0.9511372,0.9959388,0.91904294,0.9908302,0.9952757,0.9958586,0.969569,0.99371505,0.8931416,0.9925798,0.98571813,0.97554106,0.98391956,0.9953128,0.98789614,0.99095345,0.9540912,0.9905517,0.97526556,0.9859474,0.98051906,0.98782873,0.99475026,0.96567535,0.9886184,0.980885,0.94618464,0.99310064,0.98918915,0.0,0.9881073,0.995461,0.0,0.76842016,0.9822033,0.99244,0.9826931,0.99527234,0.9861161,0.9920041,0.9839051,0.9872578,0.9718925,0.99694777,0.98621845,0.9789095,0.99117947,0.9939359,0.9913903,0.9824965,0.99328923,0.9934507,0.8472115,0.99023426,0.9809937,0.9842632,0.95827734,0.98761,0.90612763,0.9826496,0.9960222,0.9903165,0.95136344,0.9914088,0.9664923
Hongman_Wang,0.9861027,0.9999999,0.9846513,0.96546316,0.97200936,0.9801731,0.98616123,0.9890889,0.98744416,0.9879507,0.9857223,0.979036,0.9737344,0.95543236,0.94412553,0.98495543,0.9878491,0.98295105,0.9828615,0.0,0.97258687,0.9786396,0.98016185,0.98238647,0.973274,0.97814214,0.96152675,0.9682682,0.9307791,0.9878403,0.9855552,0.98357356,0.98386025,0.98960376,0.982938,0.986984,0.99133587,0.98714715,0.98407066,0.9849937,0.9238049,0.96957624,0.98672396,0.9707096,0.9770738,0.9822695,0.9829838,0.9892423,0.97784424,0.0,0.9836534,0.0,0.91912353,0.98725295,0.94772905,0.9876368,0.98122764,0.9788345,0.98436856,0.98350406,0.9793341,0.9580802,0.9879501,0.9272487,0.98818433,0.9829062,0.9898312,0.9683117,0.9889617,0.892909,0.9816222,0.9833194,0.97901833,0.9769307,0.9879252,0.9826473,0.99063694,0.9583112,0.9844129,0.9712831,0.9788605,0.98308325,0.984729,0.98121536,0.9681183,0.9901922,0.96785647,0.95770895,0.98904026,0.98171294,0.0,0.9905956,0.98730993,0.0,0.74798197,0.97780174,0.98729205,0.9765402,0.98707247,0.98896396,0.9871584,0.96687055,0.97886735,0.97093815,0.9873111,0.9826497,0.9735966,0.98484814,0.9838969,0.985472,0.9729799,0.98809505,0.9880874,0.86276674,0.98429227,0.9746388,0.98626333,0.9493737,0.9890758,0.89378846,0.9792346,0.98503494,0.9854014,0.9640337,0.9895462,0.9646038
Xiangling_Fu,0.9890659,0.9846513,0.99999976,0.96503395,0.98933667,0.9801333,0.9849334,0.98802406,0.98836315,0.99480855,0.98710394,0.985419,0.9830717,0.95323545,0.950174,0.9864653,0.9962536,0.9794375,0.9884616,0.0,0.9892646,0.98148954,0.9815885,0.98318315,0.9596273,0.9814359,0.9683484,0.9698326,0.9390335,0.98893154,0.9843514,0.98810095,0.9953426,0.9930502,0.9931643,0.9939506,0.99253875,0.9938415,0.9854141,0.9896527,0.93360424,0.9764497,0.99171054,0.98320246,0.97782034,0.97862333,0.985252,0.99441683,0.9878702,0.0,0.9843426,0.0,0.9214551,0.9862907,0.95963335,0.9897051,0.9868318,0.97202045,0.98867613,0.99474156,0.98116124,0.9456483,0.99032915,0.92690015,0.991885,0.98605514,0.9929931,0.96856487,0.9941908,0.883878,0.98855925,0.99143493,0.97705036,0.97957563,0.99206,0.9885751,0.98847187,0.95177877,0.9875908,0.977999,0.97384226,0.9888908,0.98823637,0.9855535,0.9688475,0.99158216,0.9799094,0.9466872,0.9966146,0.9793159,0.0,0.9895295,0.98726094,0.0,0.7644731,0.9915918,0.985991,0.9916448,0.99056387,0.9881146,0.9889452,0.9710876,0.98888546,0.98001945,0.99186945,0.99023676,0.98758876,0.9925231,0.98655754,0.9846059,0.98734254,0.98857534,0.9926387,0.86170936,0.9883033,0.990245,0.9872425,0.951532,0.9884483,0.9072062,0.9834815,0.9872889,0.9886676,0.95349693,0.99220455,0.97276247
Yang_Liu_0024,0.9786539,0.96546316,0.96503395,1.0,0.9388249,0.9825969,0.9856785,0.9673203,0.9817889,0.9650774,0.9778379,0.98386526,0.94188213,0.9332259,0.90645885,0.98123455,0.96436775,0.9865127,0.9769584,0.0,0.95184207,0.95256805,0.9831867,0.9658998,0.94372374,0.945176,0.9485159,0.9496628,0.91191137,0.9647783,0.9827255,0.983876,0.9670073,0.97097147,0.95644575,0.9644871,0.9704962,0.9586917,0.9841683,0.95823395,0.9077132,0.9563112,0.97326255,0.9470186,0.98400307,0.99104583,0.96140945,0.96672213,0.97324884,0.0,0.97283715,0.0,0.90312046,0.98075616,0.9431468,0.97909075,0.9603628,0.979635,0.95661116,0.9694555,0.9893897,0.93605745,0.97926486,0.90524423,0.97371924,0.97782147,0.97899467,0.95562035,0.9711379,0.88460314,0.982855,0.9632381,0.953571,0.9624971,0.97822905,0.97444284,0.97138536,0.93127394,0.9816855,0.950731,0.9793762,0.95443904,0.96729577,0.9836682,0.92760545,0.9679669,0.95547616,0.94244206,0.9717226,0.9873028,0.0,0.96808636,0.9832019,0.0,0.73448765,0.96381336,0.97101533,0.9528018,0.97731864,0.9613924,0.9803674,0.9748306,0.971871,0.9485669,0.9775578,0.9558077,0.95119363,0.9659654,0.9776009,0.98873824,0.94986075,0.9831072,0.97272134,0.8250049,0.9565346,0.9571425,0.9616631,0.9391033,0.9662459,0.86918426,0.9713793,0.9809835,0.9763585,0.9241042,0.97553504,0.9419607
Pengfei_Wang_0009,0.9767102,0.97200936,0.98933667,0.9388249,1.0,0.96266085,0.96781087,0.9754272,0.9750031,0.9865937,0.9736985,0.97200394,0.9825023,0.9513737,0.9500494,0.9729545,0.99234253,0.9616539,0.9786924,0.0,0.9897894,0.9777492,0.9627168,0.97231764,0.9445529,0.9772469,0.9631665,0.9627,0.9211127,0.9797773,0.968537,0.9746745,0.9879744,0.9826918,0.9908254,0.9888165,0.9830445,0.99035776,0.9706688,0.9811842,0.921636,0.9733856,0.9838499,0.9819351,0.9575807,0.9612783,0.97700566,0.98578596,0.9782891,0.0,0.971699,0.0,0.9147804,0.97235054,0.9529485,0.9778608,0.9804662,0.95420617,0.98290396,0.9870984,0.96278703,0.92474246,0.9793949,0.9226089,0.98007655,0.97267914,0.9827162,0.9532603,0.9853164,0.8618798,0.9757785,0.98728454,0.9654268,0.9726973,0.9821855,0.9796354,0.9774227,0.94004583,0.9733468,0.97155803,0.95463645,0.9814246,0.9816289,0.97166127,0.96846926,0.98176235,0.9729046,0.93452156,0.9895297,0.9612249,0.0,0.9775575,0.9735853,0.0,0.7823539,0.98220134,0.97469467,0.9843683,0.9807634,0.9811102,0.9771757,0.9557377,0.97855777,0.9661268,0.98024213,0.98518914,0.98422885,0.98820245,0.9734209,0.96761096,0.9827025,0.97400486,0.9836577,0.8344964,0.98224556,0.98137105,0.9775796,0.94268024,0.97556484,0.91727674,0.9708095,0.9738567,0.9777155,0.95060337,0.9820132,0.96734995
Si-Ya_Xu,0.9866134,0.9801731,0.9801333,0.9825969,0.96266085,1.0,0.9963018,0.9836502,0.99274987,0.9817353,0.989005,0.992015,0.9626197,0.9574704,0.92857206,0.9893667,0.9832612,0.9961275,0.98604155,0.0,0.9672701,0.96987563,0.9876203,0.9804102,0.96279895,0.9634634,0.9611492,0.9551537,0.93144464,0.9842375,0.9956299,0.99271166,0.9833778,0.99015474,0.9756059,0.9838517,0.98774517,0.9790056,0.9916464,0.97699463,0.92291737,0.96927655,0.9892957,0.95699215,0.9924245,0.9939196,0.9768741,0.98293793,0.988282,0.0,0.9851929,0.0,0.91598547,0.9965155,0.95346713,0.99150264,0.97875935,0.99165416,0.97426677,0.9847363,0.99124897,0.9401846,0.99190044,0.9301948,0.9866153,0.9853829,0.99040645,0.9706311,0.9860061,0.8893281,0.99332917,0.9832771,0.97378695,0.98523945,0.9920749,0.98889613,0.98576534,0.9449564,0.9911999,0.9669598,0.9870695,0.9741733,0.98098207,0.99277663,0.9474742,0.9841163,0.96565264,0.9511502,0.9874497,0.99605,0.0,0.98495245,0.992912,0.0,0.7448868,0.9792861,0.9880326,0.9686845,0.99168813,0.9823221,0.9955817,0.98076665,0.98644257,0.9668658,0.9871354,0.97114503,0.96936727,0.98578,0.98920107,0.9958797,0.96711475,0.9972455,0.98884284,0.8387288,0.9728016,0.970531,0.982,0.9376169,0.9842297,0.8899399,0.9851591,0.9888344,0.99299085,0.9525004,0.99245715,0.9623568
Wenjing_Li_0001,0.9929832,0.98616123,0.9849334,0.9856785,0.96781087,0.9963018,1.0,0.98826146,0.99405444,0.9867237,0.99249256,0.9945772,0.9664179,0.9572775,0.93751764,0.99296546,0.9870229,0.9987464,0.9904888,0.0,0.97227263,0.9714476,0.9927093,0.9842697,0.9675329,0.96892285,0.96533394,0.96520895,0.93136317,0.98602784,0.99669075,0.9960407,0.9872142,0.991905,0.980738,0.98692405,0.99123377,0.98322797,0.99615276,0.9803106,0.9260774,0.9741393,0.99340004,0.96698654,0.9923576,0.99602497,0.982255,0.9874642,0.9898478,0.0,0.9895686,0.0,0.91558295,0.9975892,0.9546894,0.9943142,0.9806199,0.9907695,0.9793662,0.98836434,0.9930462,0.9461706,0.99529815,0.9260286,0.9902698,0.9918725,0.99428344,0.96986145,0.9906953,0.8934661,0.9957638,0.98535967,0.9757588,0.9865273,0.9946407,0.98940146,0.99024916,0.94966424,0.99338555,0.9705209,0.99187833,0.97719556,0.9849154,0.99598813,0.9537724,0.9867709,0.97141653,0.9565265,0.9913019,0.99874747,0.0,0.98941064,0.9966706,0.0,0.7610599,0.98079413,0.99272895,0.97575283,0.9944191,0.98672265,0.9964733,0.9834011,0.98854935,0.970667,0.9932265,0.97848296,0.9738828,0.9896936,0.99259424,0.99793667,0.9731304,0.9986549,0.99222344,0.8476018,0.98149025,0.97646475,0.98459613,0.95176154,0.9886501,0.8945415,0.98579866,0.99394196,0.9937763,0.955913,0.9933616,0.9645624
Chen_Liu_0011,0.987553,0.9890889,0.98802406,0.9673203,0.9754272,0.9836502,0.98826146,0.9999999,0.99019736,0.99026096,0.9879204,0.9856136,0.9719333,0.9578389,0.9439568,0.9858321,0.99080664,0.9852107,0.9876917,0.0,0.97695166,0.97904855,0.9802489,0.9866314,0.9650529,0.9786282,0.9745468,0.9670572,0.9423499,0.9869729,0.9877598,0.9860269,0.98914784,0.99145126,0.982677,0.9916142,0.9964241,0.98934114,0.9870053,0.9860798,0.9252641,0.97564316,0.99100214,0.9710901,0.98162067,0.98220456,0.9832263,0.99098396,0.9838036,0.0,0.9888223,0.0,0.91804427,0.9896393,0.9603976,0.99081546,0.9841409,0.9824457,0.9848232,0.9897391,0.98049843,0.95219994,0.99056613,0.9442982,0.99349356,0.98380697,0.9921541,0.978178,0.9924836,0.90355754,0.98758423,0.98814523,0.97216326,0.97804654,0.99137443,0.9864726,0.9904494,0.9547836,0.98825514,0.9735453,0.97893983,0.9829575,0.9876036,0.9871343,0.96428657,0.9922225,0.97415614,0.9505185,0.9929984,0.9843625,0.0,0.99886405,0.990121,0.0,0.7462046,0.9868735,0.987994,0.9838521,0.99131674,0.9856812,0.9903631,0.97598726,0.9839218,0.9701643,0.99091583,0.9865061,0.98090315,0.9890367,0.9899419,0.98674405,0.97593963,0.99041396,0.993182,0.85527885,0.98424256,0.98169965,0.9912169,0.94718623,0.9980691,0.9031398,0.9845476,0.9863751,0.98897564,0.9660268,0.9935483,0.97457576
Xiaomin_Zhu_0002,0.9916069,0.98744416,0.98836315,0.9817889,0.9750031,0.99274987,0.99405444,0.99019736,0.9999999,0.9886087,0.9927019,0.9947256,0.9697906,0.9581076,0.93373245,0.9926976,0.99011385,0.99234354,0.9931695,0.0,0.97993743,0.9793477,0.98914623,0.98476875,0.96364,0.9739644,0.9690709,0.9630655,0.9301683,0.98849106,0.9939586,0.9945215,0.98995197,0.9925876,0.9829067,0.9903584,0.99435997,0.9876855,0.9938046,0.9837157,0.9289241,0.9792882,0.9942689,0.9714987,0.98903173,0.99230087,0.9822794,0.9902936,0.99098796,0.0,0.98923826,0.0,0.9237737,0.99528444,0.9634058,0.9949777,0.9828085,0.98868406,0.9810387,0.99118364,0.98984325,0.94010794,0.99382573,0.9319839,0.9941859,0.98832273,0.99531126,0.97394717,0.9925992,0.8889909,0.99469906,0.9904368,0.97595763,0.9854119,0.99731153,0.9912161,0.98962903,0.9492701,0.99249053,0.97444236,0.98635244,0.98164773,0.99077,0.9952717,0.95945305,0.9914052,0.97629654,0.9566855,0.99399215,0.9919817,0.0,0.9906621,0.9959991,0.0,0.7583747,0.9876512,0.9909289,0.97917664,0.99611175,0.9874176,0.9963361,0.98039544,0.98871416,0.97004604,0.99345094,0.9825134,0.98010606,0.9913738,0.99388933,0.9947809,0.9737973,0.996283,0.99370134,0.83849216,0.9811163,0.980477,0.9894504,0.9474786,0.98853564,0.8981565,0.9856067,0.9919948,0.9947828,0.95648086,0.99575937,0.96721405
Yawen_Wang,0.9904851,0.9879507,0.99480855,0.9650774,0.9865937,0.9817353,0.9867237,0.99026096,0.9886087,1.0,0.9881079,0.9839489,0.98294246,0.9601654,0.95405227,0.9876222,0.9960611,0.9826349,0.9874525,0.0,0.98641634,0.98361254,0.9805362,0.98842114,0.96200913,0.9863812,0.97456384,0.97225857,0.9458332,0.99225295,0.98666346,0.98894525,0.9934393,0.99527144,0.993783,0.9947156,0.99434566,0.9942421,0.9858601,0.99457383,0.934403,0.98005867,0.9924504,0.98204005,0.9770554,0.98111975,0.98671293,0.9957254,0.9860692,0.0,0.9870297,0.0,0.9283382,0.9876615,0.95833147,0.99141765,0.99014866,0.9757722,0.99291503,0.992187,0.9835216,0.955593,0.9919234,0.9333808,0.99370515,0.9877437,0.99435556,0.97170454,0.9959665,0.8946825,0.98760533,0.9914631,0.9828,0.98312175,0.9931335,0.9910251,0.9909796,0.95870364,0.98984575,0.97829854,0.97720224,0.9943774,0.98854,0.9858107,0.97599506,0.9932111,0.9791048,0.95472515,0.99620306,0.9816359,0.0,0.9915727,0.98827887,0.0,0.74771535,0.9891542,0.9881535,0.98777056,0.992159,0.9908927,0.9896954,0.9723786,0.98681444,0.9817649,0.9912591,0.99279,0.98447824,0.9931241,0.986615,0.98676836,0.9872534,0.9900491,0.9944134,0.8556183,0.99159926,0.9842236,0.9893522,0.95808387,0.9903058,0.9065467,0.9848739,0.98866,0.9909574,0.96142507,0.9937558,0.9765402
