,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Anfu_Zhou,0.1696037,0.05032137,0.11792309,0.026963536,0.022707524,0.026009284,-0.016909508,-0.1862211,0.09159446,0.10384841,0.09155329,0.053550124,-0.03562467,0.071478926,-0.0009954572,0.088873595,-0.02247894,0.021213677,-0.043442454,-0.19502607,0.101616085,-0.07236502,0.028385025,0.06111934,0.08914122,-0.44962928,-0.13045329,-0.021068124,0.15418725,-0.029258369,1.3629146,0.013058746,-0.10029802,-0.22797297,-0.010181588,0.014241457,0.051787246,0.034008723,-0.08236361,-0.022541588,0.072767034,-0.065105736,-0.0015146611,0.13836227,-0.08941458,-0.035877958,0.16469316,0.10667202,0.0376682,0.0801827
Hongman_Wang,0.2023643,0.07172942,0.13877565,0.023030767,0.012066187,0.028219935,-0.035224922,-0.19761327,0.07782917,0.036900014,0.12926349,-0.0019043355,-0.07809371,0.051513143,0.021549102,0.112454824,-0.037473626,0.029997548,-0.018449726,-0.22192617,0.046890944,-0.118732825,-0.042413484,0.060952086,0.06887464,-0.45484534,-0.13272892,0.0049166777,0.14588346,0.040983,1.353739,-0.047904976,-0.15663786,-0.21326108,0.04194196,-0.0028553035,0.07005392,0.10783104,-0.029270215,0.00029676408,0.06560646,-0.08239414,0.035215847,0.13610661,-0.09142877,-0.04991917,0.18375127,0.10593965,0.09463351,0.044992473
Xiangling_Fu,0.14293315,0.045650516,0.031905685,0.008127956,0.040893167,0.079366565,-0.008422323,-0.12903693,0.047216874,0.07946416,0.092697784,0.04233347,-0.020223875,0.04380309,-0.0038897838,0.057223648,-0.02449174,-0.015351479,-0.004798314,-0.13055113,0.054931384,-0.07548235,0.031378757,0.05242528,0.046651825,-0.3542739,-0.1389305,-0.041900087,0.06734047,-0.026137771,1.0497618,-0.022765953,-0.0916508,-0.18768102,0.020240134,-0.01331464,0.045948125,0.052967563,-0.034212183,-0.016835827,0.039683063,-0.09202212,0.0055675143,0.13329358,-0.047230843,-0.028841231,0.12147254,0.11602829,0.049046714,0.04725194
Yang_Liu_0024,0.094698355,0.08689196,0.13629986,0.09761656,-0.0133887995,0.025353054,0.0086233355,-0.16322333,0.08984048,0.04240638,0.11807292,0.042544413,-0.016114485,0.066584826,-0.057291623,0.048000313,-0.08057626,0.04290258,-0.043425728,-0.10745649,0.078038834,-0.11278629,0.037417002,0.0931123,0.021838645,-0.32769048,-0.059926413,-0.027998822,0.10119428,-0.02397128,1.0754547,0.017093923,-0.1020792,-0.14216729,-0.033615246,-0.005322948,0.09033952,0.0055238754,-0.07922434,0.008900558,0.14310408,-0.09060984,-0.032533213,0.11466421,-0.13777503,-0.038480055,0.10302866,0.06938081,0.065691255,0.057741925
Pengfei_Wang_0009,0.15194803,0.030889811,0.0092328,-0.035257425,0.12735546,0.070375286,-0.0043838783,-0.1705125,0.05589464,0.085609965,0.089330055,0.08618277,-0.013529528,0.054024722,0.08569846,0.09475159,0.017057026,-0.042228393,0.04288584,-0.26368815,0.08194462,-0.10932728,0.06364241,0.07814033,0.070119396,-0.47945642,-0.20347631,-0.06947837,0.11667243,-0.026300633,1.4157206,-0.0014416884,-0.15235099,-0.27187684,0.060599778,-0.005303728,0.067896016,0.108451426,-0.0812024,-0.07591704,0.026507197,-0.11900108,0.040438723,0.19034903,-0.04686781,-0.0141877,0.161132,0.19054176,0.06566192,0.12561393
Si-Ya_Xu,0.19501407,0.016973382,0.123706244,0.06262858,-0.0026833275,0.043590367,0.024786664,-0.1676977,0.104779445,0.07910511,0.102773435,0.04570137,-0.061217315,0.061845385,-0.020454522,0.08663945,0.0058014668,0.0316499,-0.0006790544,-0.13626134,0.08506556,-0.13894449,0.0003169972,0.090955496,0.017218644,-0.337333,-0.10217766,-0.02557994,0.14952147,-0.00518908,1.1667143,-0.0071602054,-0.10530893,-0.15104258,-0.005197163,0.015658407,0.041140754,0.02927208,-0.028711965,-0.0015025403,0.07427299,-0.08828162,-0.018869033,0.13169406,-0.122322544,-0.06840984,0.15796892,0.10735933,0.07386466,0.08370291
Wenjing_Li_0001,0.17368253,0.03497601,0.12410454,0.047392644,-0.0055964133,0.025116708,-0.0030545013,-0.17804442,0.10331189,0.086563535,0.12647788,0.042578507,-0.046458714,0.063727066,-0.033970233,0.087124474,-0.015117784,0.054122113,-0.02334385,-0.14443806,0.08457847,-0.119108215,0.007944687,0.087157,0.025473682,-0.38327712,-0.10315789,-0.015504625,0.15712672,0.009934768,1.2364655,0.013447893,-0.10461499,-0.18154629,-0.005709737,0.011507748,0.032036807,0.028407082,-0.04080865,0.0036500504,0.07190782,-0.08456441,-0.011580221,0.11952228,-0.1047008,-0.061348174,0.14500567,0.10399447,0.07755758,0.08159336
Chen_Liu_0011,0.19531558,0.020092743,0.12979844,0.040057845,0.03269688,0.029062893,-0.062561795,-0.26138377,0.12333608,0.09197139,0.15450652,0.066304095,-0.047103353,0.06501675,-0.006089827,0.095454894,0.0045594773,0.025284443,0.0003517469,-0.27317962,0.08056688,-0.16937126,0.010171883,0.055292446,0.08377782,-0.5282908,-0.17198065,-0.014637391,0.17692688,-0.01597296,1.5875113,-0.055938788,-0.1779886,-0.27921844,-0.016283335,0.040760778,0.018100409,0.09933279,-0.0130215855,-0.015700843,0.09571704,-0.10286778,-0.013848188,0.1760796,-0.06093064,-0.06842386,0.22088869,0.13830476,0.098896705,0.052373115
Xiaomin_Zhu_0002,0.1466355,0.03484778,0.06692402,0.038297497,0.006721434,0.012802424,-0.0015369966,-0.14837381,0.08175101,0.06861199,0.08322332,0.057565738,-0.034556616,0.04308993,0.005977593,0.066285804,-0.023487942,0.003069344,0.011917331,-0.15707518,0.07800638,-0.12313564,0.0062165386,0.08230579,0.046557378,-0.34388304,-0.082438394,-0.012698419,0.11487681,-0.004387269,1.095583,-0.020744907,-0.11781327,-0.14517288,0.0007788348,-0.0025103292,0.049266577,0.032885145,-0.040604513,0.00071618817,0.06912921,-0.07957858,-0.02175211,0.14268424,-0.09245148,-0.048311587,0.1481567,0.1004972,0.0803789,0.05018359
Yawen_Wang,0.14653002,0.015292252,0.048717458,0.016497917,0.049516995,0.051584926,0.010841453,-0.13963436,0.04910179,0.0751498,0.103278644,0.048279908,-0.040996462,0.049573284,0.009056079,0.052444775,-0.0011715129,0.010993505,-0.03156644,-0.14800921,0.02660162,-0.0773468,0.0302646,0.028767167,0.06305311,-0.33341888,-0.12710375,-0.029319778,0.087881945,-0.020586038,1.0388563,-0.016120004,-0.11049684,-0.18506476,0.013396803,0.01219335,0.057268344,0.040666867,-0.03470983,-0.019845488,0.040861193,-0.081310615,-0.0062350463,0.102141015,-0.04790486,-0.029305063,0.14031726,0.115098275,0.05127383,0.058928408
