,0,1
Anfu_Zhou,-4.164996,-2.965808
Hongman_Wang,-4.361517,-1.4412076
Xiangling_Fu,4.9059744,-2.4302235
Yang_Liu_0024,2.7383106,-3.995165
Pengfei_Wang_0009,-5.3575583,-0.031118538
Si-Ya_Xu,1.2801486,-3.2186227
Wenjing_Li_0001,0.13651375,-3.1813037
Chen_Liu_0011,-8.581895,-2.5347993
Xiaomin_Zhu_0002,3.0231712,-2.224347
Yawen_Wang,4.8092833,-2.126777
Pei_Zhang_0003,-7.776188,-3.1772842
Jianfeng_Guan,2.0505004,-2.4234376
Qi_Qi_0001,5.4235134,-3.2017896
Qiwei_Shen,-4.8673058,1.2261138
Chuan_Shi,-3.5743735,0.8117135
Yongping_Xiong,2.9927201,-2.6456258
Haihong_E,-2.1734514,-0.799847
Fanqin_Zhou,0.64365274,-3.587816
Shuzhuang_Zhang,-3.8780284,-2.6623673
Hongliang_Liang,9.033603,-0.37900585
Linmei_Hu,5.4451137,-2.8627841
Yanhua_Yu,5.2747326,-1.3388108
Yan_Shi_0002,3.344943,-3.2073805
Haifeng_Sun,7.131132,-1.3906095
Yuhong_Li,8.299241,-0.78378505
Dong_Zhao_0001,-3.4827657,1.858337
Tiemeng_Li,-7.1684875,1.4352753
Feng_Qi_0004,-0.4089963,0.43047017
Rongfeng_Li,-1.3546884,2.1436777
Jincui_Yang,-1.997992,-0.21246114
Ao_Xiong,0.8022773,-3.4046488
Li_Wang_0039,-2.3477569,-3.7054212
Bin_Wu_0001,-6.7234282,-1.0917428
Zhili_Wang,4.918394,-1.9829019
Ding_Xiao,5.5084805,-2.1902733
Yingxia_Shao,-3.072908,-0.79842645
Rongheng_Lin,-6.089808,-1.8590398
Kun_Niu,-4.915703,-0.63020617
Xirong_Que,-5.886177,-3.3650246
Dahai_Jin,-3.0477624,0.53301793
Guangwei_Zhang,0.6356553,-5.5341334
Yuan_Dong,-2.4425719,-1.9615855
Shangguang_Wang,2.4053507,-1.8013982
Xiangang_Qin,-5.0242896,-1.8770124
Xin_Li_0041,-6.642408,-3.6973052
Bo_Hu_0003,2.1554945,-3.4044905
Wenhua_Shao,4.536052,-1.4282339
Junping_Du,-2.8900347,-0.25352928
Meilian_Lu,-6.4888525,-2.509229
Wenbin_Yao,9.033338,-0.37923214
Zhaowen_Lin,2.011664,-0.7727691
Liutong_Xu,9.033603,-0.37900585
Jinglin_Li,-5.805068,2.6223204
Shao-Yong_Guo,0.10723697,-2.7113097
Yidong_Cui,-9.021711,-3.6179686
Yanlei_Shang,-5.1126466,-2.6439922
Xuejing_Kang,-1.5763724,0.9672565
Sujie_Shao,6.81799,-1.7648473
Anlong_Ming,-7.1599355,0.8650177
Bai_Wang_0001,-6.4330587,-1.2436811
Hui_Gao_0001,-1.3139569,-3.996526
Fangchun_Yang,-8.454225,1.4050876
Dongliang_Xie,-3.0013678,-2.2890956
Xiangwu_Meng,-2.575346,-5.784533
Jingling_Zhao,-8.023557,-2.477065
Pengrui_Duan,-4.8206387,-3.438373
Wendong_Wang,-1.1809297,-1.7415593
Shao-Zhang_Niu,-9.445226,0.73289603
Yan_Sun_0004,-3.2264361,-1.3421638
Yuyu_Yuan,-9.213246,1.5202165
Wenan_Zhou,-2.167551,-3.1900845
Xiang_Cheng_0003,-0.16559146,-0.9618371
Songwei_Pei,-0.78451645,-5.188969
Xiaoyuan_Fu,4.296592,-2.6784847
Jianxin_Liao,1.0463824,-1.6804816
Tong_Xu_0002,-0.112532735,-1.2085234
Fang_Zhao_0003,4.269648,-1.6581113
Chong_Gao,-8.967414,-0.6256425
Hai_Huang_0001,3.9385688,-2.0029106
Xiaofeng_Du,-8.0880785,-1.5024048
Kun_Xie_0003,-7.4388084,-3.8586888
Yunzhan_Gong,-2.28277,0.45887357
Yang_Zhang_0015,2.533119,-0.85485977
Changqiao_Xu,0.962878,-2.4816234
Qiang_Fu_0004,-3.9437027,-5.3712983
Wenming_Guo,-7.110622,-1.6807916
Haoyu_Wang_0001,-5.693565,-4.408269
Hongwei_Jia,5.6269655,-0.5944956
Meina_Song,-3.3398438,-1.2100749
Lei_Feng_0001,2.2120664,-3.3746529
Yuchao_Zhang,9.03327,-0.3789139
Zhengqiu_Yang,-8.609685,-2.5342677
Xiangyang_Gong,-1.5958365,-2.658538
Hua_Zou,9.03358,-0.37897623
Danfeng_Yan,4.945857,-4.5067377
Xiuqin_Lin,-6.0536375,-0.925393
Quan_Yuan_0004,-0.5596851,-2.3171453
MeiYu_Liang,-6.49744,-0.2555265
Jingyu_Wang_0001,-1.3747494,-1.9107537
Xingquan_Zuo,-0.9745272,-0.42851502
Lanlan_Rui,1.7164017,-2.2348218
Lejian_Zhang,6.877396,-1.7484922
Zhongbao_Zhang,1.0269383,-1.3448972
Xiaoru_Wang,-5.676829,2.0683975
Zhonghong_Ou,-4.747987,-2.734187
Wen-Jun_Hou,-7.299063,-0.5482763
Lirong_Qiu,3.3853755,-5.1494613
Qibo_Sun,2.6879015,-1.5741769
Hongbo_Wang_0001,-2.770094,-3.1358488
Ying_Wang_0002,-1.2670135,-3.5683422
Mengshi_Qi,-6.7456765,0.50481665
Xuesong_Qiu_0001,1.2851723,-2.508875
Hong_Luo_0001,-1.8135846,-1.417669
Xianlin_Zhang,-0.91497415,2.5938358
Huiyuan_Fu,-7.66799,0.15312137
Feifei_Kou,-6.2861238,-0.3431537
Budan_Wu,-3.688435,-0.5354672
Jinpeng_Chen,-9.76159,-1.94697
Jiapeng_Xiu,-8.79604,-2.6300952
Kai_Shuang,2.5181441,0.2708494
Yonghao_Gu,0.6374381,-0.41101637
Xiaolong_Zheng_0002,-4.04861,-3.2847683
Shujie_Yang,7.3500443,-1.2761834
Xiao-hong_Huang,-9.685071,-2.861444
Zhipeng_Gao,-4.03604,-1.4748535
Yuanyuan_Zuo,7.054019,-1.121221
